,Date,Price
0,2002-08-05,2.6700000762939453
1,2002-08-06,2.7160000801086426
2,2002-08-07,2.6600000858306885
3,2002-08-08,2.744999885559082
4,2002-08-09,2.760999917984009
5,2002-08-12,2.9649999141693115
6,2002-08-13,2.9749999046325684
7,2002-08-14,2.9100000858306885
8,2002-08-15,3.134999990463257
9,2002-08-16,3.1489999294281006
10,2002-08-19,3.289999961853028
11,2002-08-20,3.1659998893737797
12,2002-08-21,3.2739999294281006
13,2002-08-22,3.515000104904175
14,2002-08-23,3.486999988555908
15,2002-08-26,3.617000102996826
16,2002-08-27,3.4830000400543213
17,2002-08-28,3.2880001068115234
18,2002-08-29,3.25
19,2002-08-30,3.2960000038146973
20,2002-09-03,3.131999969482422
21,2002-09-04,3.193000078201294
22,2002-09-05,3.3420000076293945
23,2002-09-06,3.265000104904175
24,2002-09-09,3.3989999294281006
25,2002-09-10,3.3559999465942383
26,2002-09-11,3.25
27,2002-09-12,3.3289999961853027
28,2002-09-13,3.4670000076293945
29,2002-09-16,3.506999969482422
30,2002-09-17,3.678999900817871
31,2002-09-18,3.786999940872192
32,2002-09-19,3.8559999465942383
33,2002-09-20,3.757999897003174
34,2002-09-23,3.9779999256134033
35,2002-09-24,3.742000102996826
36,2002-09-25,3.49399995803833
37,2002-09-26,3.686000108718872
38,2002-09-27,4.040999889373779
39,2002-09-30,4.139999866485596
40,2002-10-01,4.066999912261963
41,2002-10-02,4.159999847412109
42,2002-10-03,3.723999977111816
43,2002-10-04,3.739000082015991
44,2002-10-07,3.740000009536743
45,2002-10-08,3.861999988555908
46,2002-10-09,3.9179999828338623
47,2002-10-10,3.828000068664551
48,2002-10-11,4.145999908447266
49,2002-10-14,4.302999973297119
50,2002-10-15,4.247000217437744
51,2002-10-16,4.227000236511231
52,2002-10-17,4.298999786376953
53,2002-10-18,4.238999843597412
54,2002-10-21,4.1570000648498535
55,2002-10-22,4.119999885559082
56,2002-10-23,4.260000228881836
57,2002-10-24,4.132999897003174
58,2002-10-25,4.027999877929688
59,2002-10-28,4.176000118255615
60,2002-10-29,4.125999927520752
61,2002-10-30,4.388999938964844
62,2002-10-31,4.156000137329102
63,2002-11-01,4.059999942779541
64,2002-11-04,3.86299991607666
65,2002-11-05,3.882999897003174
66,2002-11-06,3.8540000915527344
67,2002-11-07,3.8310000896453857
68,2002-11-08,3.9030001163482666
69,2002-11-11,3.7780001163482666
70,2002-11-12,3.871999979019165
71,2002-11-13,3.877000093460083
72,2002-11-14,3.86899995803833
73,2002-11-15,3.9809999465942383
74,2002-11-18,4.263000011444092
75,2002-11-19,4.261000156402588
76,2002-11-20,4.254000186920166
77,2002-11-21,4.35099983215332
78,2002-11-22,4.260000228881836
79,2002-11-25,4.261000156402588
80,2002-11-26,4.139999866485596
81,2002-11-27,4.199999809265137
82,2002-12-02,4.320000171661377
83,2002-12-03,4.22599983215332
84,2002-12-04,4.297999858856201
85,2002-12-05,4.40500020980835
86,2002-12-06,4.382999897003174
87,2002-12-09,4.369999885559082
88,2002-12-10,4.639999866485596
89,2002-12-11,4.709000110626221
90,2002-12-12,5.099999904632568
91,2002-12-13,5.283999919891357
92,2002-12-16,5.341000080108643
93,2002-12-17,5.239999771118164
94,2002-12-18,5.277999877929688
95,2002-12-19,5.046999931335449
96,2002-12-20,5.195000171661377
97,2002-12-23,5.116000175476074
98,2002-12-24,5.150000095367432
99,2002-12-26,4.961999893188477
100,2002-12-27,4.96999979019165
101,2002-12-30,4.800000190734863
102,2002-12-31,4.789000034332275
103,2003-01-02,5.250999927520752
104,2003-01-03,5.343999862670898
105,2003-01-06,4.934999942779541
106,2003-01-07,5.126999855041504
107,2003-01-08,5.160999774932861
108,2003-01-09,5.303999900817871
109,2003-01-10,5.14300012588501
110,2003-01-13,5.250999927520752
111,2003-01-14,5.10699987411499
112,2003-01-15,5.429999828338623
113,2003-01-16,5.644999980926514
114,2003-01-17,5.535999774932861
115,2003-01-21,5.433000087738037
116,2003-01-22,5.672999858856201
117,2003-01-23,5.420000076293945
118,2003-01-24,5.52400016784668
119,2003-01-27,5.395999908447266
120,2003-01-28,5.443999767303467
121,2003-01-29,5.659999847412109
122,2003-01-30,5.583000183105469
123,2003-01-31,5.605000019073486
124,2003-02-03,5.765999794006348
125,2003-02-04,5.76200008392334
126,2003-02-05,5.644000053405762
127,2003-02-06,5.828000068664551
128,2003-02-07,6.043000221252441
129,2003-02-10,5.852000236511231
130,2003-02-11,5.977000236511231
131,2003-02-12,5.784999847412109
132,2003-02-13,5.739999771118164
133,2003-02-14,5.85099983215332
134,2003-02-18,5.910999774932861
135,2003-02-19,6.133999824523926
136,2003-02-20,6.162000179290772
137,2003-02-21,6.610000133514404
138,2003-02-24,9.13700008392334
139,2003-02-25,9.57699966430664
140,2003-02-26,9.133000373840332
141,2003-02-27,7.485000133514404
142,2003-02-28,8.10099983215332
143,2003-03-03,7.162000179290772
144,2003-03-04,7.040999889373779
145,2003-03-05,7.020999908447266
146,2003-03-06,6.843999862670898
147,2003-03-07,6.974999904632568
148,2003-03-10,6.514999866485596
149,2003-03-11,5.943999767303467
150,2003-03-12,5.864999771118164
151,2003-03-13,5.360000133514404
152,2003-03-14,5.428999900817871
153,2003-03-17,5.506999969482422
154,2003-03-18,5.339000225067139
155,2003-03-19,5.277999877929688
156,2003-03-20,5.306000232696533
157,2003-03-21,5.119999885559082
158,2003-03-24,5.252999782562256
159,2003-03-25,5.077000141143799
160,2003-03-26,5.0970001220703125
161,2003-03-27,5.145999908447266
162,2003-03-28,5.145999908447266
